base_course,other_course,overall
ACCT209,ACCT211,0.1969071343629759
ACCT209,ACCT212,0.14027752285244202
ACCT209,SMGT200,0.0632977493823878
ACCT209,BCOU210,0.06324799711488183
ACCT209,BUSI223,0.05787625867790114
ACCT209,NURS202,0.05522866139592981
ACCT209,BUSI240,0.05410197083378549
ACCT209,PHED219,0.051579603463875336
ACCT209,BUSI210,0.04878384673868022
ACCT209,PHYS232,0.04539590967955566
ACCT209,NURS215,0.044564818242828576
ACCT209,ENGE212,0.0425699004386664
ACCT209,GLST220,0.042163467824392335
ACCT209,PHYS231,0.04128211180067301
ACCT209,ACCT299,0.040821397640274856
ACCT209,STCO289,0.04045665685821059
ACCT209,MUSC200,0.039159412035758366
ACCT209,HSER201,0.03832022965002743
ACCT209,FACS250,0.03814598359476453
ACCT209,CLCM250,0.03677619586848685
ACCT209,HBRW202,0.036658222483378376
ACCT209,PHSC210,0.035838091158939864
ACCT209,AVIA210,0.03552282869532673
ACCT209,PSYC221,0.03529391433777093
ACCT209,PHED203,0.03503255678834813
ACCT211,ACCT209,0.1969071343629759
ACCT211,ACCT212,0.18098103310559754
ACCT211,PLST230,0.06729805351612819
ACCT211,SMGT200,0.06631558012865221
ACCT211,PHYS202L,0.06605073380162974
ACCT211,PHYS231L,0.06605073380162974
ACCT211,HVAC201,0.059954233317328826
ACCT211,GLST220,0.05979354217714364
ACCT211,PHYS231,0.05808813809759018
ACCT211,NURS202,0.05805429910591428
ACCT211,BUSI210,0.05521900224033828
ACCT211,PHYS232,0.05469551539676393
ACCT211,BCOU210,0.05111645143978835
ACCT211,NURS215,0.050709015135737126
ACCT211,WRSP201,0.05038046280201626
ACCT211,MUSC202,0.050380462802016246
ACCT211,PHYS201,0.04958079504037835
ACCT211,GOVT280,0.049244655483227685
ACCT211,BUSI201,0.047328412440753975
ACCT211,CINE260,0.04596940253816723
ACCT211,PHYS202,0.0448543421996629
ACCT211,PHED219,0.04457991529785646
ACCT211,FACS244,0.043253545779343774
ACCT211,THEA211,0.042882179261650215
ACCT211,EDUC235,0.04244630081656692
ACCT212,ACCT211,0.18098103310559754
ACCT212,ACCT209,0.14027752285244202
ACCT212,FACS244,0.0725036529094008
ACCT212,PHYS232,0.06690567358892935
ACCT212,CSIS208,0.06390676946803017
ACCT212,HVAC201,0.06318951304269431
ACCT212,CSIS209,0.061326239558230106
ACCT212,NURS202,0.059523445658718734
ACCT212,BCOU210,0.05849446561750245
ACCT212,PHYS202L,0.0576661625846552
ACCT212,PHYS231L,0.0576661625846552
ACCT212,GLST220,0.05760341524928597
ACCT212,PHYS231,0.056701463231941696
ACCT212,SMGT200,0.056400624759425255
ACCT212,NURS211,0.05534947574116437
ACCT212,BUSI201,0.05448312442527652
ACCT212,THEA211,0.05393427215480441
ACCT212,WRSP201,0.05392170048245735
ACCT212,MUSC202,0.053921700482457334
ACCT212,NURS210,0.049813841426649186
ACCT212,PHYS202,0.0496130010617384
ACCT212,PHYS201,0.048621282474249086
ACCT212,NURS215,0.04794228330393702
ACCT212,ENGR210,0.04723160045132714
ACCT212,EDUC201,0.046665526666785646
ACCT299,HLTH299,0.09430312887744118
ACCT299,DIGI225,0.07034721395119763
ACCT299,PLST206,0.059580053986200476
ACCT299,FACS250,0.05860735228761077
ACCT299,DIGI220,0.057734701932972934
ACCT299,HSER270,0.05138553992680584
ACCT299,SMGT200,0.05058892129843325
ACCT299,FACS200,0.04944950255213297
ACCT299,PHED207,0.048494279052607676
ACCT299,MISC201,0.04720954054030614
ACCT299,MISC202,0.04720954054030614
ACCT299,FACS225,0.04634887988443394
ACCT299,SPAN201,0.04472135954999579
ACCT299,ARTS222,0.043635688398624604
ACCT299,SOWK294,0.043425174602519906
ACCT299,BUSI210,0.04319028647240215
ACCT299,FACS204,0.043140976804264194
ACCT299,PHYS202,0.042031061265006754
ACCT299,ACCT211,0.041585512878609496
ACCT299,PHSC211,0.04131690285571299
ACCT299,ACCT209,0.040821397640274856
ACCT299,PHYS201,0.04054374761332935
ACCT299,AVIA245,0.03980862030115931
ACCT299,JOUR220,0.039271085797405306
ACCT299,EDUC210,0.03899557145083472
ACCT301,ACCT302,0.24649347872444072
ACCT301,ACCT311,0.15465118851024745
ACCT301,ACCT370,0.13709583988142038
ACCT301,ACCT332,0.12871785733392765
ACCT301,ACCT340,0.1171561990523545
ACCT301,GEOG373,0.10457234897644607
ACCT301,ACCT350,0.10200419039047602
ACCT301,BUSI320,0.09553109483242296
ACCT301,GEOG374,0.07173113039133103
ACCT301,BUSI305,0.06994074552547862
ACCT301,CSCN340,0.06840646461239566
ACCT301,CSIS341,0.06551696054586073
ACCT301,CSCN322,0.060139051964760944
